,LSOA11CD,name,total,geometry,id,lon,lat
178,E01000183,Barnet 033A,1658,POINT (-0.1759950013798657 51.58944793428967),178,-0.17599500137986568,51.58944793428967
179,E01000184,Barnet 027C,1756,POINT (-0.166020711144341 51.60153814148865),179,-0.16602071114434103,51.60153814148865
180,E01000185,Barnet 029F,1505,POINT (-0.1716729020639082 51.59600868057539),180,-0.1716729020639082,51.59600868057539
181,E01000186,Barnet 014A,1734,POINT (-0.2744880205603573 51.622884956395424),181,-0.2744880205603573,51.622884956395424
182,E01000187,Barnet 014B,1744,POINT (-0.2726028171073718 51.62624285806147),182,-0.2726028171073718,51.62624285806147
183,E01000188,Barnet 014C,1577,POINT (-0.2858727485245791 51.63111147763304),183,-0.2858727485245791,51.63111147763304
184,E01000189,Barnet 014D,2278,POINT (-0.2883843696396344 51.62144285941121),184,-0.2883843696396344,51.62144285941121
185,E01000190,Barnet 014E,1757,POINT (-0.2844514266659164 51.61860585791788),185,-0.28445142666591644,51.61860585791788
186,E01000191,Barnet 014F,1588,POINT (-0.2783605162040965 51.6203437191022),186,-0.2783605162040965,51.6203437191022
187,E01000192,Barnet 018A,2169,POINT (-0.2731348017601212 51.61652786718251),187,-0.2731348017601212,51.61652786718251
188,E01000193,Barnet 018B,2098,POINT (-0.2791665632563389 51.61464871225144),188,-0.2791665632563389,51.61464871225144
189,E01000194,Barnet 018C,2064,POINT (-0.274084894360852 51.61077291058477),189,-0.27408489436085204,51.61077291058477
190,E01000195,Barnet 013A,2004,POINT (-0.2671447526711173 51.630847966787115),190,-0.26714475267111726,51.630847966787115
191,E01000196,Barnet 028A,2332,POINT (-0.1960185410228049 51.598045087312144),191,-0.1960185410228049,51.598045087312144
192,E01000197,Barnet 023A,2064,POINT (-0.1881963591364301 51.59718221711881),192,-0.18819635913643007,51.59718221711881
193,E01000198,Barnet 025A,2247,POINT (-0.2142843869292061 51.59579344286483),193,-0.2142843869292061,51.59579344286483
194,E01000199,Barnet 025B,1643,POINT (-0.2067413856660412 51.59965978008723),194,-0.20674138566604117,51.59965978008723
195,E01000200,Barnet 028B,2092,POINT (-0.2043419518678881 51.596177460772886),195,-0.20434195186788812,51.596177460772886
196,E01000201,Barnet 028C,1680,POINT (-0.2048125232580944 51.591635271646915),196,-0.2048125232580944,51.591635271646915
197,E01000202,Barnet 028D,1844,POINT (-0.1962026013313199 51.594289302700695),197,-0.19620260133131986,51.594289302700695
198,E01000203,Barnet 028E,2034,POINT (-0.1931588260076716 51.59230444914147),198,-0.19315882600767156,51.59230444914147
199,E01000204,Barnet 025C,1906,POINT (-0.2014539982455177 51.60218743734727),199,-0.20145399824551774,51.60218743734727
200,E01000205,Barnet 035A,1722,POINT (-0.1893548090639002 51.58716636838218),200,-0.18935480906390023,51.58716636838218
201,E01000206,Barnet 033B,1580,POINT (-0.1769595211645107 51.57548882006499),201,-0.17695952116451072,51.57548882006499
202,E01000207,Barnet 033C,1659,POINT (-0.1841699227889028 51.582235311113465),202,-0.18416992278890276,51.582235311113465
203,E01000208,Barnet 033D,1704,POINT (-0.1693986527445044 51.585577887258815),203,-0.1693986527445044,51.585577887258815
204,E01000209,Barnet 035B,1508,POINT (-0.1933906402223845 51.58337260113935),204,-0.19339064022238447,51.58337260113935
205,E01000210,Barnet 033E,1643,POINT (-0.1827981962983199 51.58942063628209),205,-0.1827981962983199,51.58942063628209
206,E01000211,Barnet 035C,2268,POINT (-0.1976302306362584 51.585914245851306),206,-0.1976302306362584,51.585914245851306
207,E01000212,Barnet 035D,1514,POINT (-0.1924760208903284 51.57796068310594),207,-0.1924760208903284,51.57796068310594
208,E01000213,Barnet 033F,1408,POINT (-0.1785143362236961 51.58037073113129),208,-0.17851433622369606,51.58037073113129
209,E01000214,Barnet 038E,1909,POINT (-0.1911343675403418 51.57341691082649),209,-0.19113436754034183,51.57341691082649
210,E01000215,Barnet 037B,2330,POINT (-0.2092014399983772 51.5806230171785),210,-0.2092014399983772,51.5806230171785
211,E01000216,Barnet 035E,2141,POINT (-0.2007389123061421 51.578901471653076),211,-0.2007389123061421,51.578901471653076
212,E01000217,Barnet 035F,1860,POINT (-0.2033235868342097 51.58319342524781),212,-0.20332358683420973,51.58319342524781
213,E01000218,Barnet 037C,2122,POINT (-0.2065721042281751 51.57775814212518),213,-0.20657210422817512,51.57775814212518
214,E01000219,Barnet 037D,2109,POINT (-0.2126076841770833 51.57608563955703),214,-0.21260768417708328,51.57608563955703
215,E01000220,Barnet 037E,2132,POINT (-0.2077969339203328 51.57541804998711),215,-0.2077969339203328,51.57541804998711
216,E01000221,Barnet 039B,1317,POINT (-0.219262277311526 51.57311442137038),216,-0.21926227731152598,51.57311442137038
217,E01000222,Barnet 040C,1975,POINT (-0.2137725088637701 51.56955047578946),217,-0.21377250886377014,51.56955047578946
218,E01000223,Barnet 039C,1758,POINT (-0.2232874409339362 51.56762592859753),218,-0.2232874409339362,51.56762592859753
219,E01000224,Barnet 040D,1759,POINT (-0.2130964523257061 51.565894252464204),219,-0.21309645232570612,51.565894252464204
220,E01000225,Barnet 037F,2017,POINT (-0.2055049598350321 51.58636745195452),220,-0.20550495983503214,51.58636745195452
221,E01000226,Barnet 018D,1801,POINT (-0.2660130380713164 51.610420640932645),221,-0.2660130380713164,51.610420640932645
222,E01000227,Barnet 018E,1954,POINT (-0.2666971578519295 51.61435178457956),222,-0.2666971578519295,51.61435178457956
223,E01000228,Barnet 007A,1517,POINT (-0.2531890161877654 51.633390608849275),223,-0.2531890161877654,51.633390608849275
224,E01000229,Barnet 013B,1757,POINT (-0.2648499008106186 51.62461813761197),224,-0.26484990081061865,51.62461813761197
225,E01000230,Barnet 013C,2034,POINT (-0.2685176911157027 51.62286448540558),225,-0.26851769111570273,51.62286448540558
